1577961023,106
1577960126,79
1577959226,81
1577958331,75
1577954726,104
1577953826,100
1577952923,102
1577952023,78
1577951123,70
1577950223,102
1577949323,143
1577948423,101
1577947526,103
1577946626,124
1577953806,65
1577952918,67
1577952918,67
1577948418,73
1577947517,81
1577946618,70
1577870126,79
1577869223,104
1577868323,83
1577920523,84
1577919623,81
1577867423,77
1577918723,79
1577866526,78
1577865623,78
1577917823,78
1577864726,112
1577916923,79
1577863823,78
1577916023,78
1577862926,81
1577915123,77
1577862023,76
1577914224,75
1577861123,77
1577913323,75
1577860223,78
1577912424,79
1577859323,78
1577911526,75
1577819723,80
1577858426,80
1577910623,73
1577857526,80
1577818825,79
1577909726,139
1577817923,79
1577856626,110
1577908826,76
1577855726,114
1577817026,126
1577907926,76
1577816123,78
1577854823,74
1577907025,78
1577853923,76
1577815223,78
1577906123,74
1577853026,78
1577814323,106
1577905225,85
1577813426,82
1577852125,75
1577904326,75
1577812523,81
1577903426,83
1577851223,77
1577902524,73
1577811624,103
1577850323,78
1577901626,75
1577849425,107
1577810723,79
1577900726,75
1577945723,98
1577809826,90
1577848526,80
1577847625,74
1577899823,75
1577944824,96
1577808923,85
1577846723,78
1577898926,79
1577808026,88
1577845825,81
1577943923,97
1577943023,97
1577898024,74
1577844923,97
1577807125,87
1577844023,101
1577942126,157
1577897124,74
1577806224,90
1577843126,77
1577941225,95
1577896226,78
1577805325,86
1577842226,79
1577940323,95
1577804423,85
1577895326,79
1577341823,94
1577841323,89
1577803523,86
1577894425,78
1577939426,101
1577340923,89
1577840423,77
1577893525,76
1577938524,99
1577340026,89
1577802623,88
1577839523,113
1577937623,104
1577892624,79
1577339126,89
1577838625,79
1577801725,86
1577891723,81
1577800824,90
1577338224,81
1577936723,98
1577837726,78
1577890823,74
1577799926,94
1577337325,91
1577889926,81
1577836825,134
1577935823,89
1577799023,90
1577336423,94
1577889025,75
1577835923,76
1577934925,98
1577798126,88
1577335526,93
1577888123,75
1577835024,77
1577934026,100
1577797223,92
1577334623,90
1577887223,76
1577834123,78
1577933126,95
1577796323,93
1577333725,90
1577886323,73
1577795423,74
1577833223,76
1577885423,75
1577332823,95
1577932226,95
1577794526,92
1577832326,98
1577884524,76
1577331926,87
1577931326,83
1577831426,78
1577883623,75
